order_id,order_date,shipped_date,username,email,phone_number,place,country,postal_code,product,product_category,product_price,quantity,total_amount,payment_method,payment_status,shipping_provider,order_status,delivery_address,tracking_number
44,2025-07-16,2025-07-20,mark89,hunterdarryl@example.org,6849239449,Marshallchester,El Salvador,31498,Smartphone,Electronics,543.37,2,1086.74,Credit Card,Unpaid,USPS,Cancelled,"00698 Gomez Overpass, Hudsonbury, MI 32001",ff30220a-0cd4-4629-a966-c0477c210976
45,2023-11-16,2024-07-03,michelle74,angiedavis@example.net,563-363-5448x1625,South Josephbury,Niger,21501,Backpack,Accessories,300.36,4,1201.44,Cash on Delivery,Paid,DHL,Pending,"PSC 3673, Box 5755, APO AP 42749",012d3e3a-5992-484e-93ed-de2e1861e7d4
46,2024-01-06,2024-12-16,theresa58,zjohnson@example.com,978-483-6523x235,Loganfurt,Micronesia,76777,Backpack,Accessories,538.29,5,2691.45,PayPal,Paid,USPS,Delivered,"USNV Diaz, FPO AP 73040",2f50aec8-0788-4c48-8acc-7e54b9a3e135
47,2024-05-01,2024-12-07,emily46,zrodriguez@example.com,(917)501-5291,North Dawn,Timor-Leste,68925,Water Bottle,Accessories,478.34,5,2391.7,Debit Card,Unpaid,UPS,Cancelled,"411 April Junctions, Lewisbury, OR 00615",43e18acb-9795-4237-b9b1-bdd20102b146
48,2025-05-14,2025-07-13,tyler47,nicolestevenson@example.org,+1-216-434-6727x1093,Lake Michaelhaven,Norfolk Island,31915,Watch,Fashion,973.5,3,2920.5,Cash on Delivery,Paid,FedEx,Cancelled,"3280 Michelle Cove Suite 493, New Donaldstad, AK 06047",22b6af11-825f-456d-b369-412e4084ac31
49,2024-07-07,2024-09-25,davidevans,gmacdonald@example.com,7298834274,New Stacy,Morocco,96040,Watch,Fashion,591.98,2,1183.96,Debit Card,Paid,USPS,Shipped,"68253 Howard Corners, Port Christopher, MS 28143",2408b4c4-6577-4db2-b026-318a1c60130e
50,2024-03-07,2025-01-28,dianasimmons,bobby28@example.org,818-299-6166x64527,Moyertown,Gabon,94684,Smartphone,Electronics,981.62,3,2944.86,Credit Card,Paid,DHL,Shipped,"8534 Christine Run, West Kenneth, LA 56020",fd6e9e66-039e-4999-920c-2e7742cf3da5
51,2025-06-27,2025-08-19,lisajacobs,scottheather@example.org,+1-847-759-2678,New Jenniferborough,Canada,23300,Shoes,Fashion,831.06,5,4155.3,Credit Card,Paid,USPS,Delivered,"USNV Reed, FPO AA 16776",d885fe9c-18c3-4517-a343-fa5fa4bae0c2
52,2023-09-24,2024-01-17,jaredmills,marissa28@example.com,+1-722-553-0062x440,Sarahbury,Trinidad and Tobago,43408,Coffee Maker,Home Appliance,19.68,1,19.68,Cash on Delivery,Paid,UPS,Delivered,"497 Molina Trail Suite 811, Woodardville, MI 15826",136fc95c-7814-4bd6-894c-0c89ead0e33c
53,2024-01-06,2024-01-26,mullinstimothy,lewisbarbara@example.net,254.644.3189,Theodoremouth,Bolivia,52305,Headphones,Electronics,837.43,5,4187.15,Debit Card,Unpaid,USPS,Shipped,"1000 Herman Points Suite 744, Jenniferhaven, AL 75577",04bfc981-dc29-470e-a4fe-c07a52dda669
54,2024-08-28,2025-01-09,brenda03,kyle87@example.org,358-709-9963,Fieldsport,United States Virgin Islands,27787,Smartphone,Electronics,449.14,4,1796.56,Credit Card,Unpaid,DHL,Shipped,"705 Acosta Burg Suite 472, North Brandon, VT 04733",69965b6e-10b4-48c4-a5aa-b4abd0fb09c1
55,2024-09-22,2025-04-01,austin99,robin26@example.com,260-882-2139x112,Tateshire,Sudan,21822,Headphones,Electronics,873.47,4,3493.88,Credit Card,Unpaid,USPS,Delivered,"388 Monique Landing, Cannonberg, IA 73582",0a2d6e1d-eb6b-4b21-a5b3-06a820525f64
56,2025-02-14,2025-06-04,holly47,wharris@example.com,(887)645-2292,Zunigafort,Uzbekistan,61964,Headphones,Electronics,447.34,3,1342.02,Cash on Delivery,Paid,FedEx,Cancelled,"8510 Garcia Mills Apt. 969, Tylerhaven, LA 89181",142fb93d-5e31-4a0c-a0bc-4ff56be2fd8a
57,2024-11-09,2025-08-17,ismith,imason@example.org,309-512-6216x66203,Lewisland,Oman,63062,Book,Education,912.21,3,2736.63,Debit Card,Paid,DHL,Shipped,"85035 Townsend Ferry Suite 961, West Robert, WI 35640",4c7f4434-79c8-4ee2-9f51-32370d0283ed
58,2025-03-08,2025-05-26,xmartin,aaronbrewer@example.net,+1-691-484-0268x9718,New Benjamin,Tokelau,04577,Shoes,Fashion,319.55,1,319.55,PayPal,Unpaid,FedEx,Pending,"1262 Joshua Circles Apt. 905, East Patrickborough, SD 38187",955b86fb-22fb-4ddd-9117-0be9a45abbc8
59,2025-02-12,2025-04-22,michaelrobinson,thompsonwhitney@example.org,001-667-533-8641,Michelleside,United Arab Emirates,09947,Shoes,Fashion,189.67,1,189.67,PayPal,Paid,UPS,Shipped,"850 Tucker Flat, West Melissamouth, CT 14432",ebb19ade-1ad1-447c-9758-a972d112647c
60,2024-06-02,2024-10-18,sanchezjeremy,tyler47@example.com,001-740-915-7920x9559,West Donnaburgh,Australia,72701,Headphones,Electronics,814.32,5,4071.6,Cash on Delivery,Paid,UPS,Delivered,"940 Adam Terrace Apt. 696, Fredburgh, IN 97509",529bcf37-956a-471d-b283-22660cd375a8
61,2024-02-17,2025-06-20,dennis00,jessica45@example.com,704.220.7572x563,Valentinechester,Guernsey,93007,Watch,Fashion,714.31,1,714.31,Debit Card,Unpaid,USPS,Shipped,"73207 Smith Court Suite 322, Jonesland, DE 32575",dae11546-5af7-4f95-845e-67c95d02fc81
62,2023-10-12,2024-06-19,charles10,maloneamy@example.com,001-575-688-4880x6833,Dyerside,South Africa,37863,Desk Lamp,Home Appliance,196.61,4,786.44,PayPal,Paid,USPS,Shipped,"326 Ramos Shores Suite 257, New Curtisfort, PW 34570",d99510dc-7dee-467e-bc37-76cd8bcea1a7
63,2025-03-08,2025-04-01,douglasstewart,robinrobles@example.net,+1-787-622-8480x5810,Mcmillanberg,Ghana,02028,Headphones,Electronics,308.61,4,1234.44,Cash on Delivery,Unpaid,DHL,Pending,"31394 Anthony Lock Apt. 584, West Lisatown, KS 94439",7ffe034b-261d-43bf-a2e9-0cf22b769dc2
64,2023-10-11,2024-02-29,ithompson,kjohnston@example.net,7629404012,Lake Kenneth,Japan,15265,Coffee Maker,Home Appliance,146.55,3,439.65,Credit Card,Paid,FedEx,Pending,"2096 Thomas Fall Suite 290, East Christytown, FL 24572",ab049823-9540-4589-98b9-f61c15701289
65,2025-04-23,2025-05-10,cbaker,owalter@example.com,377-903-5804x49802,Riveraport,Aruba,03904,Water Bottle,Accessories,676.58,5,3382.9,PayPal,Paid,UPS,Shipped,"7047 Olson Forest, Longmouth, MH 53627",85da40b8-6840-41a4-86d2-07d1fb8fc96a
66,2025-07-18,2025-08-09,sherigibson,kimberly00@example.com,001-773-822-1412x566,Katelynborough,Faroe Islands,35132,Watch,Fashion,120.44,3,361.32,PayPal,Unpaid,DHL,Cancelled,"21929 Nicholas Groves Apt. 592, North Ashley, WA 13251",f3763f95-c625-4679-93ed-034ae6721471
67,2025-05-18,2025-07-25,usweeney,irosales@example.com,332.693.7809,North Steven,Botswana,61203,Smartphone,Electronics,810.5,4,3242.0,Cash on Delivery,Unpaid,DHL,Cancelled,"2239 Hoover Coves Suite 034, Bakerview, MH 84688",42c0e599-fce3-4067-ab16-720c7bdbf043
68,2023-12-15,2025-01-11,powellhailey,hrobbins@example.com,225.673.4486x4884,Webbview,Western Sahara,54602,Laptop,Electronics,534.07,4,2136.28,PayPal,Paid,FedEx,Cancelled,"543 Cook Greens Suite 035, West Grantburgh, MS 00506",337d295c-0268-4d96-a11b-4ddfd20b31be
69,2025-05-06,2025-06-02,ywhitaker,tbrown@example.com,+1-336-986-4001x249,Jesseberg,Panama,65825,Coffee Maker,Home Appliance,588.5,2,1177.0,Credit Card,Paid,UPS,Cancelled,"866 Martinez Plaza Apt. 011, New Ryan, TN 75384",a48d4d13-3139-439d-be22-46918415d34c
70,2024-09-28,2025-03-27,dmurray,princeadrian@example.net,(333)667-1387x561,Kathrynfort,Equatorial Guinea,45784,Shoes,Fashion,962.07,5,4810.35,Cash on Delivery,Paid,USPS,Shipped,"604 Michelle Bypass, New Shannon, ME 68475",1b8a2aaf-6b45-4ea0-99d7-d66fd9a6c808
71,2025-01-27,2025-04-06,ashleyjohnson,ocook@example.org,001-762-953-2949x81641,Franklinport,Norfolk Island,45106,Watch,Fashion,696.02,4,2784.08,Cash on Delivery,Paid,UPS,Cancelled,"2365 Melissa Expressway, Moranstad, UT 25771",f5776b59-8fab-4641-b912-998d1b73e47a
72,2025-06-13,2025-07-10,rhardin,davidpham@example.com,2669643607,Jocelynton,Tuvalu,26595,Headphones,Electronics,129.8,3,389.4,Cash on Delivery,Paid,USPS,Shipped,"6865 Maxwell Well, Port Nicholas, NH 98904",9c1ac756-baf6-449f-9610-875820539150
73,2025-05-23,2025-08-02,tyler41,nicolecrosby@example.net,(408)682-8348x9467,East Richardstad,Singapore,82045,Coffee Maker,Home Appliance,815.59,4,3262.36,Cash on Delivery,Unpaid,FedEx,Shipped,"758 Dixon Crossing Suite 916, West Amy, VI 02996",a679230b-fec6-49f0-b545-c6da37dff827
74,2024-10-12,2025-05-29,brian01,yvega@example.com,781.416.2682x04489,Juareztown,Latvia,09011,Coffee Maker,Home Appliance,574.55,3,1723.65,Cash on Delivery,Paid,DHL,Pending,"727 Roberts Freeway Suite 769, West Cynthia, GA 83934",f498e17e-bd5a-43fa-8c75-18b13172cc64
75,2025-03-26,2025-05-03,hallronald,cherylmartinez@example.org,7338284097,Ashleychester,Ethiopia,98778,Water Bottle,Accessories,717.34,1,717.34,Cash on Delivery,Unpaid,USPS,Cancelled,"28846 Andrew Village, Karenside, MP 94979",cd4df79a-fd79-4d24-ac36-6df27d1a35ca
76,2024-06-23,2025-04-12,nicole49,douglaskristin@example.com,001-594-237-2956x46228,Courtneyport,Jamaica,32497,Laptop,Electronics,362.37,5,1811.85,PayPal,Paid,DHL,Delivered,"0949 Jones Rue Suite 133, Lake Jillian, NE 02531",5df292e5-c00f-46cf-97d7-300322369ad9
77,2025-04-01,2025-04-27,michael63,qgonzalez@example.com,285-305-3172x386,West Ruthville,Malta,27617,Smartphone,Electronics,332.66,4,1330.64,Cash on Delivery,Paid,USPS,Pending,"2285 Michael Loaf, Clarkstad, FL 96018",76f4e689-df75-46ae-8ead-666e50aeb802
78,2024-02-23,2024-04-24,michael86,watsonraymond@example.net,001-631-673-4373x620,West Pamela,Marshall Islands,81684,Shoes,Fashion,789.26,3,2367.78,Cash on Delivery,Unpaid,FedEx,Pending,"958 Manuel Trace, Wheelerborough, KY 31312",3277df2f-7b1a-497d-a074-99cf91448215
79,2024-10-02,2025-07-14,toni08,gary30@example.com,735-396-2957,North Jessica,Somalia,73909,Book,Education,517.36,3,1552.08,PayPal,Paid,DHL,Cancelled,"4757 Luna Glen Apt. 711, New Sarah, AR 92625",32d9330a-7671-4c9e-ab7c-5533b6877d7b
80,2023-09-16,2024-12-05,pamelabryant,mclaughlindonald@example.org,405.822.9565x486,New Charles,Burundi,73120,Backpack,Accessories,696.99,1,696.99,Cash on Delivery,Paid,DHL,Cancelled,"Unit 4037 Box 9612, DPO AA 58406",76b49754-0606-4044-b738-a8eec18cb981
81,2025-01-09,2025-02-05,mitchellmiller,costalinda@example.org,001-501-830-7077,Lake Ericafurt,Gambia,45775,Watch,Fashion,787.4,1,787.4,Debit Card,Unpaid,FedEx,Shipped,"9199 Roberts Knoll, Lake Julie, AK 35930",62b04502-ea5d-4ec8-9f5e-23f9e1866ae4
82,2024-05-26,2025-05-23,gnunez,davidross@example.org,292.217.3465x406,Davidshire,Liberia,32732,Laptop,Electronics,81.31,2,162.62,Debit Card,Paid,DHL,Cancelled,"86857 Jeremy Throughway Apt. 098, East Robertton, HI 98775",b1db9753-dd48-4b8d-b26f-83a85eb77018
83,2025-06-03,2025-08-21,johnsonchristopher,hoopertheresa@example.org,+1-286-286-6532x56101,North Ashley,Turkey,01285,Watch,Fashion,361.02,1,361.02,PayPal,Paid,UPS,Delivered,"3596 Thomas Trail, New Jessica, NJ 13268",120875cc-1eaf-4764-b1cd-27b9cb4fac66
84,2024-11-11,2025-01-08,skelly,rhernandez@example.net,001-558-213-1181,Davisville,Solomon Islands,97574,Book,Education,214.55,4,858.2,Credit Card,Paid,DHL,Delivered,"83791 Lisa Parks Suite 169, Timothychester, TN 97558",2ea590da-1e6c-4782-849c-be28cb886faa
85,2024-10-16,2025-08-07,carlosparker,james43@example.org,339.848.1378x80295,Port Patrickport,Azerbaijan,93894,Book,Education,684.85,1,684.85,Credit Card,Paid,FedEx,Shipped,"USNS Hill, FPO AP 26670",fb854979-8a40-483c-ac3a-21a36b8b57f2
86,2025-02-26,2025-06-15,qjuarez,laurasmith@example.net,+1-847-876-1523,Rodriguezborough,Turkey,04399,Coffee Maker,Home Appliance,432.32,3,1296.96,Cash on Delivery,Paid,DHL,Cancelled,"90518 Jonathan Route Apt. 893, Nielsenmouth, FM 66665",a548f843-832e-4039-acfe-c7533ed290aa
87,2025-04-18,2025-08-25,martinsusan,lynchamy@example.org,(327)408-2494x52235,Lake Heathertown,Mexico,32497,Coffee Maker,Home Appliance,725.68,5,3628.4,Cash on Delivery,Paid,DHL,Shipped,"68200 Khan Path Apt. 395, Jeffreyborough, TX 22026",be04b7aa-59a6-4fc8-b4d2-259b62008ce7
88,2024-08-02,2025-05-18,mgould,martin47@example.com,394.999.9698,Mossberg,Oman,26338,Book,Education,379.83,1,379.83,PayPal,Unpaid,UPS,Cancelled,"785 Peter Drive Apt. 517, Port Sarahbury, AS 09796",98996ead-652e-434f-8c1c-67eb84cb05c3
89,2024-11-13,2024-12-23,clarkronald,robertshayley@example.com,973-277-8808,Warrenville,Belize,98455,Watch,Fashion,839.65,3,2518.95,Credit Card,Paid,UPS,Pending,"8979 Craig Port, East Austintown, OK 20548",b786ceaf-3f2d-4da8-b8ab-6475477d6adb
90,2023-10-07,2024-10-06,fisherzachary,erin79@example.org,+1-983-365-5508x8400,Port Tiffany,Grenada,05710,Backpack,Accessories,874.07,2,1748.14,Credit Card,Unpaid,UPS,Cancelled,"8751 Sullivan Hills Suite 074, West Shelleystad, KS 48876",eb4df6d7-fede-45ec-9a81-c209faa229dd
